name,type,country,region,grapes,description,food,alcohol,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
олоросо,🍯 Крепленое белое,Испания (Андалусия),Херес,Паломино,"Полностью оксидативная выдержка. Темное, с нотами орехов, кожи и табака.","📌 Красное мясо, дичь, выдержанные сыры",18.0,6.5,0.5,0.2,10.0,0.05,20,60,1.012,3.2,0.6
педро хименес,🍯 Десертное белое,Испания (Андалусия),Херес,Педро Хименес,"Сладчайший херес из подсушенных ягод. Тона чернослива, инжира, патоки.","📌 Десерты, голубые сыры, мороженое",15.0,6.5,0.5,0.2,40.0,0.05,20,60,1.025,3.3,0.6
вино верде,🥂 Белое сухое,Португалия,Винью Верде,Альбариньо+Тражадура,"Легкое, слегка игристое вино с высокой кислотностью.","📌 Морепродукты, рыба, салаты",10.5,6.8,0.2,0.3,2.5,0.035,18,50,0.993,3.2,0.4
дао,🍷 Красное сухое,Португалия,Дао,Турига Насьональ,"Структурированные красные вина из региона Дао. Тона вишни, ежевики и минералов.","📌 Мясо на гриле, дичь, сыры",13.0,7.5,0.45,0.3,2.3,0.065,22,65,0.997,3.4,0.65
бага,🍷 Красное сухое,Португалия,Баиррада,Бага,"Танинный, мощный сорт, требующий выдержки. Терруарные вина.","📌 Дичь, жаркое, выдержанные сыры",13.5,7.8,0.5,0.3,2.2,0.07,23,68,0.997,3.4,0.7
руби порто,🍯 Крепленое красное,Португалия,Дору,Турига Насьональ,"Молодой портвейн, выдержанный в стали/бетоне. Фруктовый, с тонами ежевики.","📌 Фруктовые десерты, шоколад, сыры",20.0,6.5,0.6,0.2,10.0,0.04,20,60,1.02,3.4,0.5
тони порто,🍯 Крепленое красное,Португалия,Дору,Турига Насьональ,"Портвейн, выдержанный в дубе, с окислительными тонами орехов, карамели, сухофруктов.","📌 Орехи, карамельные десерты, сигары",20.0,6.5,0.6,0.2,12.0,0.04,20,60,1.022,3.4,0.5
колхайта порто,🍯 Крепленое белое,Португалия,Дору,Мальвазия,"Редкий белый портвейн. Ноты меда, орехов и цитрусовых.","📌 Десерты, орехи, голубые сыры",20.0,6.5,0.5,0.2,15.0,0.04,20,60,1.02,3.3,0.5
грюнер вельтлинер федершпиль,🥂 Белое сухое,Австрия,Вахау,Грюнер Вельтлинер,"Легкий стиль Грюнера из Вахау. Пряное, с нотами белого перца и цитрусов.","📌 Рыба, морепродукты, австрийская кухня",12.0,7.0,0.2,0.35,2.2,0.035,22,68,0.994,3.2,0.48
грюнер вельтлинер шмарахд,🥂 Белое сухое,Австрия,Вахау,Грюнер Вельтлинер,"Самый полный и мощный стиль Грюнера. Высокий алкоголь, потенциал выдержки.","📌 Сложные блюда, белое мясо, сыры",13.5,7.5,0.22,0.4,2.5,0.04,24,75,0.996,3.2,0.52
рислинг шмарахд,🥂 Белое сухое,Австрия,Вахау,Рислинг,"Великие австрийские рислинги с высокой минеральностью и потенциалом.","📌 Рыба, морепродукты, азиатская кухня",13.5,7.8,0.2,0.4,2.5,0.03,24,76,0.996,3.0,0.48
цвайгельт классик,🍷 Красное сухое,Австрия,Нижняя Австрия,Цвайгельт,"Легкий, фруктовый стиль, популярный в хойригерах.","📌 Венский шницель, закуски, легкие мясные блюда",12.0,7.2,0.38,0.24,2.2,0.06,20,58,0.996,3.4,0.6
блауфренкиш классик,🍷 Красное сухое,Австрия,Бургенланд,Блауфренкиш,"Фруктовый стиль с тонами вишни и легких специй.","📌 Мясо, закуски, паста",12.5,7.4,0.42,0.26,2.3,0.065,21,62,0.996,3.4,0.63
эгрика викавер,🍷 Красное сухое,Венгрия,Эгер,Бикавер,"Современный стиль «Бычьей крови», более элегантный и фруктовый.","📌 Гуляш, мясо по-венгерски",13.0,7.6,0.48,0.3,2.5,0.07,22,65,0.997,3.4,0.68
токай фурминт сухое,🥂 Белое сухое,Венгрия,Токай,Фурминт,"Сухая версия великого токайского сорта. Высокая кислотность, минеральность.","📌 Рыба, морепродукты, белое мясо",12.5,8.0,0.25,0.5,2.5,0.035,28,85,0.996,3.0,0.5
токай асау 3 путтони,🍯 Десертное белое,Венгрия,Токай,Фурминт,"Легендарное десертное вино из ботритизированного винограда. Мед, абрикос, цукаты.","📌 Фуа-гра, голубые сыры, десерты",11.0,8.5,0.3,0.6,15.0,0.04,35,100,1.02,3.0,0.55
токай асау 5 путтони,🍯 Десертное белое,Венгрия,Токай,Фурминт,"Очень сладкое и концентрированное токайское. Десерт сам по себе.","📌 Фуа-гра, сыры с плесенью",10.0,8.8,0.3,0.65,25.0,0.04,40,110,1.03,3.0,0.6
токай эссенция,🍯 Десертное белое,Венгрия,Токай,Фурминт,"Нектар из самотёка. Невероятно сладкое, концентрированное.","📌 Как самостоятельный десерт",5.0,9.0,0.35,0.7,40.0,0.05,45,120,1.05,3.0,0.65
вилла антинори кьянти классико,🍷 Красное сухое,Италия (Тоскана),Кьянти Классико,Санджовезе,"Одно из самых узнаваемых кьянти в мире. Отличный баланс цены и качества.","📌 Паста, пицца, мясо",13.5,8.0,0.45,0.3,2.0,0.06,22,65,0.997,3.3,0.65
банфи кьянти классико,🍷 Красное сухое,Италия (Тоскана),Кьянти Классико,Санджовезе,"Еще один известный производитель. Классическое, элегантное кьянти.","📌 Паста, мясо, сыры",13.5,8.0,0.45,0.3,2.0,0.06,22,65,0.997,3.3,0.65
руфино кьянти классико,🍷 Красное сухое,Италия (Тоскана),Кьянти Классико,Санджовезе,"Традиционное кьянти от известного дома.","📌 Традиционные итальянские блюда",13.5,8.0,0.45,0.3,2.0,0.06,22,65,0.997,3.3,0.65
санта кристина,🍷 Красное сухое,Италия (Тоскана),Тоскана,Санджовезе+Мерло,"Доступное супер-тосканское вино от Антинори.","📌 Мясо, паста, сыры",13.5,7.8,0.4,0.3,2.2,0.065,22,64,0.996,3.4,0.65
тинтанелло,🍷 Красное сухое,Италия (Тоскана),Болгери,Каберне Совиньон+Мерло,"Знаменитое супер-тосканское вино, эталон стиля.","📌 Дичь, стейки, выдержанные сыры",14.0,8.2,0.45,0.32,2.3,0.07,25,70,0.998,3.4,0.7
солая,🍷 Красное сухое,Италия (Тоскана),Болгери,Каберне Совиньон,"Великое супер-тосканское вино из Каберне Совиньона.","📌 Изысканные мясные блюда, дичь",14.0,8.2,0.45,0.32,2.3,0.07,25,70,0.998,3.4,0.7
массето,🍷 Красное сухое,Италия (Тоскана),Тоскана,Мерло,"Культовое итальянское вино из Мерло. Огромная концентрация.","📌 Изысканные блюда, дичь, трюфели",14.5,8.5,0.5,0.35,2.5,0.075,26,72,0.999,3.5,0.75
орнеллайя,🍷 Красное сухое,Италия (Тоскана),Болгери,Каберне Совиньон+Мерло,"Легендарное супер-тосканское вино.","📌 Изысканные мясные блюда",14.0,8.2,0.45,0.32,2.3,0.07,25,70,0.998,3.4,0.7
сассикайя,🍷 Красное сухое,Италия (Тоскана),Болгери,Каберне Фран+Каберне Совиньон,"Первое супер-тосканское вино. Культовый статус.","📌 Изысканные блюда, дичь",14.0,8.2,0.45,0.32,2.3,0.07,25,70,0.998,3.4,0.7
лукреция,🍷 Красное сухое,Италия (Умбрия),Умбрия,Санджовезе+Мерло,"Доступное супер-тосканское вино.","📌 Мясо, паста",13.5,7.8,0.4,0.3,2.2,0.065,22,64,0.996,3.4,0.65
кампо алле комете,🍷 Красное сухое,Италия (Тоскана),Болгери,Мерло+Каберне Фран,"Элегантное супер-тосканское.","📌 Мясо, сыры",14.0,8.0,0.42,0.3,2.2,0.07,24,68,0.997,3.4,0.68
грекко ди туфо,🥂 Белое сухое,Италия (Кампания),Грекко ди Туфо,Грекко,"Древний сорт, вино с нотами абрикоса, меда и минералов.","📌 Рыба, морепродукты, козьи сыры",12.5,7.2,0.22,0.35,2.5,0.035,22,70,0.995,3.2,0.5
фиано ди авеллино,🥂 Белое сухое,Италия (Кампания),Фиано ди Авеллино,Фиано,"Благородное южно-итальянское вино. Потенциал выдержки, ноты орехов и меда.","📌 Рыба, моллюски, белое мясо",13.0,7.5,0.23,0.38,2.8,0.04,23,72,0.995,3.2,0.52
таурази,🍷 Красное сухое,Италия (Кампания),Таурази,Альянико,"Одно из величайших итальянских вин Юга. Мощное, танинное, с потенциалом выдержки.","📌 Дичь, жаркое, выдержанные сыры",13.5,8.2,0.5,0.3,2.0,0.07,25,70,0.998,3.4,0.7
альянико дель вультуре,🍷 Красное сухое,Италия (Базиликата),Вультуре,Альянико,"Вино с вулканических почв. Минеральное, с тонами черных ягод и специй.","📌 Мясо на гриле, дичь",13.5,8.0,0.48,0.3,2.1,0.07,24,68,0.997,3.4,0.68
монтепульчано д'абруццо,🍷 Красное сухое,Италия (Абруццо),Абруццо,Монтепульчано,"Очень популярное итальянское красное. Мягкое, фруктовое, с тонами вишни.","📌 Паста, пицца, мясо, сыры",12.5,7.5,0.4,0.25,2.3,0.065,22,65,0.996,3.4,0.65
черасуоло д'абруццо,🍷 Красное молодое,Италия (Абруццо),Абруццо,Монтепульчано,"Более легкая, быстрая версия Монтепульчано.","📌 Закуски, легкие мясные блюда",12.0,7.2,0.35,0.22,2.2,0.06,20,60,0.995,3.4,0.6
примитиво ди мандурия,🍷 Красное сухое,Италия (Апулия),Мандурия,Примитиво,"Концентрированная версия Примитиво с юга Апулии. Тона джема и табака.","📌 Мясо на гриле, выдержанные сыры",14.0,7.5,0.48,0.28,2.8,0.065,23,66,0.998,3.5,0.68
саличе салентино,🍷 Красное сухое,Италия (Апулия),Саленто,Негроамаро,"Апулийское вино с тонами вишни, шоколада и лакрицы.","📌 Мясо на гриле, паста с мясом",13.5,7.5,0.46,0.28,2.5,0.07,22,65,0.997,3.4,0.67
неро д'авола сицилия,🍷 Красное сухое,Италия (Сицилия),Сицилия,Неро д'Авола,"Базовое сицилийское вино из Неро д'Авола. Фруктовое, с тонами вишни.","📌 Паста, пицца, мясо",13.0,7.8,0.45,0.28,2.4,0.065,22,65,0.997,3.4,0.66
этна россо,🍷 Красное сухое,Италия (Сицилия),Этна,Нерелло Маскалезе,"Вино с вулканических почв Этны. Минеральное, с тонами красных ягод, дыма и трав.","📌 Рыба, мясо, сыры",12.5,7.2,0.38,0.25,2.2,0.06,20,60,0.995,3.3,0.6
этна бьянко,🥂 Белое сухое,Италия (Сицилия),Этна,Кариканте,"Белое вино с Этны. Минеральное, с нотами цитрусов, трав и вулканической породы.","📌 Рыба, морепродукты, козьи сыры",12.0,7.0,0.2,0.32,2.3,0.035,21,65,0.995,3.2,0.48
мальвазия ди липари,🍯 Десертное белое,Италия (Сицилия),Липари,Мальвазия,"Сладкое вино с Липарских островов. Тона абрикоса, меда и цитрусов.","📌 Десерты, сыры, фуа-гра",12.0,6.8,0.25,0.3,15.0,0.035,25,75,1.012,3.2,0.5
пантекаллерия,🍯 Десертное белое,Италия (Сицилия),Пантекаллерия,Мускат,"Сладкое вино с острова Пантекаллерия из местного муската.","📌 Десерты, сыры",12.0,6.8,0.25,0.3,16.0,0.035,25,75,1.013,3.2,0.5
гренаш блан,🥂 Белое сухое,Франция (Долина Роны),Разные,Гренаш Блан,"Полнотелое белое с нотами трав, цитрусов и миндаля.","📌 Рыба, птица, блюда прованской кухни",13.0,7.0,0.22,0.35,2.5,0.035,22,70,0.995,3.3,0.5
клеретт,🥂 Белое сухое,Франция (Лангедок),Разные,Клеретт,"Старинный сорт, дает легкие, свежие вина.","📌 Легкие закуски, морепродукты",11.5,6.8,0.2,0.3,2.2,0.03,20,60,0.994,3.2,0.45
пикпуль де пине,🥂 Белое сухое,Франция (Лангедок),Пикпуль де Пине,Пикпуль,"Свежее, минеральное вино с нотами цитрусов и трав, часто с оттенком морской соли.","📌 Устрицы, мидии, моллюски",12.0,7.2,0.2,0.35,2.3,0.035,22,68,0.995,3.2,0.48
марсан,🥂 Белое сухое,Франция (Долина Роны),Разные,Марсан,"Полнотелое, маслянистое белое с нотами яблока, груши и цветов.","📌 Рыба, белое мясо, сливочные соусы",13.0,7.0,0.22,0.35,2.5,0.035,22,70,0.995,3.3,0.5
руссан,🥂 Белое сухое,Франция (Долина Роны),Разные,Руссан,"Похож на Марсан, но с более цветочным ароматом и высокой кислотностью.","📌 Рыба, морепродукты",13.0,7.0,0.22,0.35,2.5,0.035,22,70,0.995,3.2,0.5
кот-дю-рон красное,🍷 Красное сухое,Франция (Долина Роны),Кот-дю-Рон,Гренаш+Сира,"Доступное вино из Южной Роны. Пряное, с тонами красных ягод.","📌 Мясо, паста, сыры",13.0,7.5,0.45,0.28,2.3,0.065,22,65,0.996,3.4,0.65
шатонеф-дю-пап,🍷 Красное сухое,Франция (Долина Роны),Шатонеф-дю-Пап,Гренаш+Сира,"Знаменитое вино из Южной Роны. Полнотелое, сложное, с нотами ягод, трав и гальки.","📌 Дичь, жаркое, выдержанные сыры",14.0,8.0,0.5,0.3,2.5,0.07,25,70,0.998,3.5,0.7
жигонда,🍷 Красное сухое,Франция (Долина Роны),Жигонда,Гренаш,"Крю в Кот-дю-Рон. Более концентрированное и мощное.","📌 Мясо на гриле, дичь",13.5,7.8,0.48,0.3,2.4,0.065,24,68,0.997,3.4,0.68
вакейрас,🍷 Красное сухое,Франция (Долина Роны),Вакейрас,Гренаш+Сира,"Еще одно крю в Кот-дю-Рон. Ароматное, пряное.","📌 Мясо, сыры",13.5,7.8,0.48,0.3,2.4,0.065,24,68,0.997,3.4,0.68
божоле нуво,🍷 Красное молодое,Франция (Божоле),Божоле,Гаме,"Легендарное молодое вино, которое пьют в ноябре сразу после сбора урожая.","📌 Закуски, колбасы, пицца",12.0,7.0,0.3,0.25,2.0,0.05,15,45,0.995,3.4,0.5
божоле вилляж,🍷 Красное сухое,Франция (Божоле),Божоле Вилляж,Гаме,"Более качественная версия Божоле.","📌 Закуски, легкие мясные блюда",12.5,7.2,0.32,0.26,2.1,0.055,16,48,0.995,3.4,0.52
мулен-а-ван,🍷 Красное сухое,Франция (Божоле),Мулен-а-Ван,Гаме,"Лучшее крю Божоле. Вино с потенциалом выдержки.","📌 Мясо, птица, сыры",13.0,7.5,0.35,0.28,2.2,0.06,18,52,0.996,3.4,0.55
моргон,🍷 Красное сухое,Франция (Божоле),Моргон,Гаме,"Одно из самых известных крю Божоле. Структурированное.","📌 Мясо, сыры",13.0,7.5,0.35,0.28,2.2,0.06,18,52,0.996,3.4,0.55
флёри,🍷 Красное сухое,Франция (Божоле),Флёри,Гаме,"Крю с цветочными нотками. Элегантное.","📌 Мясо, птица",12.5,7.3,0.33,0.27,2.1,0.058,17,50,0.995,3.4,0.53
сен-амор,🍷 Красное сухое,Франция (Божоле),Сен-Амор,Гаме,"Самое северное крю Божоле, часто с более пряными тонами.","📌 Мясо, сыры",12.5,7.3,0.34,0.27,2.1,0.058,17,51,0.995,3.4,0.53
бруйи,🍷 Красное сухое,Франция (Божоле),Бруйи,Гаме,"Мощное и танинное крю Божоле.","📌 Мясо, дичь",13.0,7.5,0.36,0.28,2.2,0.06,18,52,0.996,3.4,0.55
шинан,🍷 Красное сухое,Франция (Луара),Шинан,Каберне Фран,"Красное из Каберне Фран в долине Луары. Травянистое, с тонами малины.","📌 Овощи на гриле, козьи сыры, телятина",12.5,7.5,0.4,0.3,2.0,0.06,20,60,0.996,3.4,0.6
бургонь,🍷 Красное сухое,Франция (Бургундия),Бургонь,Пино Нуар,"Базовое красное бургундское вино.","📌 Легкие мясные блюда, птица",12.0,7.0,0.3,0.2,1.8,0.06,18,52,0.995,3.3,0.58
бургонь,🥂 Белое сухое,Франция (Бургундия),Бургонь,Шардоне,"Базовое белое бургундское вино.","📌 Рыба, морепродукты, легкие блюда",12.0,6.8,0.22,0.35,2.5,0.04,22,70,0.994,3.2,0.5
макон-вилляж,🥂 Белое сухое,Франция (Бургундия),Макон-Вилляж,Шардоне,"Доступное белое из южной Бургундии. Часто легкое, фруктовое.","📌 Рыба, салаты, легкие закуски",12.5,6.9,0.23,0.36,2.6,0.04,23,72,0.995,3.2,0.52
пуйи-фюме,🥂 Белое сухое,Франция (Луара),Пуйи-фюме,Совиньон Блан,"Знаменитое вино из Совиньон Блан с нотами кремня и дыма.","📌 Устрицы, козий сыр, рыба",12.5,7.5,0.2,0.45,2.8,0.035,25,80,0.994,3.1,0.5
сансер,🥂 Белое сухое,Франция (Луара),Сансер,Совиньон Блан,"Совиньон Блан с кремнистыми почвами. Минеральное, элегантное.","📌 Устрицы, козий сыр, рыба",12.5,7.5,0.2,0.45,2.8,0.035,25,80,0.994,3.1,0.5
менету-салон,🥂 Белое сухое,Франция (Луара),Менету-Салон,Совиньон Блан,"Менее известный, но достойный аналог Сансера.","📌 Морепродукты, козий сыр",12.5,7.5,0.2,0.45,2.8,0.035,25,80,0.994,3.1,0.5
куран-сент-эмильон,🍷 Красное сухое,Франция (Бордо),Кюран,Мерло,"Бордоское вино из региона Кюран. Мягкое, фруктовое.","📌 Мясо, паста, сыры",12.5,7.5,0.4,0.25,2.4,0.065,22,65,0.996,3.4,0.65
фронсак,🍷 Красное сухое,Франция (Бордо),Фронсак,Мерло,"Вино из апелласьона Фронсак. Часто хорошее соотношение цены и качества.","📌 Мясо, птица, сыры",13.0,7.8,0.42,0.28,2.4,0.065,23,66,0.996,3.4,0.66
листрак-медок,🍷 Красное сухое,Франция (Бордо),Листрак-Медок,Каберне Совиньон,"Вино из менее известного крю в Медоке.","📌 Мясо, сыры",13.0,7.8,0.4,0.28,2.3,0.065,23,66,0.996,3.4,0.66
мулис-ан-медок,🍷 Красное сухое,Франция (Бордо),Мулис-ан-Медок,Каберне Совиньон,"Еще одно крю в Медоке.","📌 Мясо, сыры",13.0,7.8,0.4,0.28,2.3,0.065,23,66,0.996,3.4,0.66
о-медок,🍷 Красное сухое,Франция (Бордо),О-Медок,Каберне Совиньон,"Региональное медокское вино.","📌 Мясо, сыры",12.5,7.5,0.4,0.26,2.3,0.065,22,64,0.996,3.4,0.64
помероль,🍷 Красное сухое,Франция (Бордо),Помероль,Мерло,"Знаменитый апелласьон. Вина из Мерло здесь достигают вершин.","📌 Изысканные мясные блюда, дичь, трюфели",13.5,8.0,0.45,0.3,2.3,0.07,24,68,0.997,3.4,0.68
сен-эмильон,🍷 Красное сухое,Франция (Бордо),Сент-Эмильон,Мерло+Каберне Фран,"Великий апелласьон Бордо.","📌 Мясо, дичь, сыры",13.0,7.8,0.42,0.28,2.3,0.07,23,66,0.996,3.4,0.66
пессак-леоньян,🍷 Красное сухое,Франция (Бордо),Пессак-Леоньян,Каберне Совиньон+Мерло,"Регион к югу от Бордо, известный своими красными и белыми винами.","📌 Мясо, дичь, сыры",13.0,7.8,0.42,0.28,2.3,0.07,23,66,0.997,3.4,0.66
совиньон гри,🥂 Белое сухое,Франция/Италия,Разные,Совиньон Гри,"Мутация Совиньон Блана. Дает более полнотелые, пряные вина.","📌 Рыба, белое мясо, азиатская кухня",12.5,7.2,0.22,0.4,2.5,0.035,23,72,0.995,3.2,0.5
семийон,🥂 Белое сухое,Франция (Бордо),Бордо,Семийон,"Основной сорт для сотерна и сухих бордосских белых. Полнотелый, восковой.","📌 Рыба, белое мясо, сыры",12.5,7.2,0.22,0.4,2.5,0.035,23,72,0.995,3.2,0.5
мускадель,🥂 Белое сухое,Франция (Бордо),Бордо,Мускадель,"Используется в ассамбляжах бордосских белых для придания свежести.","📌 Рыба, морепродукты",12.0,7.0,0.2,0.35,2.2,0.035,22,68,0.994,3.1,0.48
угни блан,🥂 Белое сухое,Франция (Лангедок),Разные,Угни Блан,"Высокоурожайный сорт для производства коньяка и арманьяка.","📌 Нейтральный вкус",11.0,6.5,0.2,0.25,2.0,0.03,18,55,0.994,3.2,0.4
коломбар,🥂 Белое сухое,Франция (Лангедок),Разные,Коломбар,"Кислотный сорт, часто используется в ассамбляжах.","📌 Нейтральный вкус",11.5,7.0,0.22,0.3,2.2,0.035,20,60,0.995,3.2,0.45
фолль бланш,🥂 Белое сухое,Франция,Разные,Фолль Бланш,"Старинный сорт для коньяка.","📌 Нейтральный вкус",11.0,7.0,0.22,0.3,2.2,0.035,20,60,0.995,3.2,0.45
шардоне совиньон блан ассамбляж,🥂 Белое сухое,Австралия,Разные,Шардоне+Совиньон Блан,"Популярный австралийский купаж.","📌 Рыба, салаты, легкие закуски",12.5,7.0,0.22,0.4,2.8,0.035,24,75,0.995,3.2,0.5
семийон совиньон блан ассамбляж,🥂 Белое сухое,Австралия,Разные,Семийон+Совиньон Блан,"Классический бордосский купаж в Австралии.","📌 Рыба, морепродукты, козьи сыры",12.5,7.2,0.22,0.4,2.5,0.035,24,74,0.995,3.2,0.5
верделио,🥂 Белое сухое,Португалия (Мадейра),Мадейра,Верделио,"Сорт для мадеры.","📌 Аперитив, легкие закуски",11.0,7.0,0.22,0.3,2.5,0.035,20,60,0.995,3.2,0.45
серсиаль,🥂 Белое сухое,Португалия (Мадейра),Мадейра,Серсиаль,"Самый кислый сорт для мадеры, дает сухие вина.","📌 Аперитив",11.0,7.5,0.22,0.3,2.2,0.035,20,60,0.995,3.1,0.45
буаль,🥂 Белое сухое,Португалия (Мадейра),Мадейра,Буаль,"Средний сорт для мадеры, с нотами орехов.","📌 Аперитив, легкие закуски",11.0,7.0,0.22,0.3,2.5,0.035,20,60,0.995,3.2,0.45
мальвазия,🥂 Белое сладкое,Португалия (Мадейра),Мадейра,Мальвазия,"Самый сладкий сорт для мадеры.","📌 Десерты",11.0,6.8,0.25,0.35,8.0,0.035,20,60,1.005,3.3,0.48
террантес,🍷 Красное сухое,Бразилия,Серра Гауша,Террантес,"Бразильский сорт, дающий танинные вина с тонами черных ягод.","📌 Мясо на гриле, дичь",13.0,7.8,0.45,0.3,2.3,0.065,23,67,0.996,3.4,0.66
таннат,🍷 Красное сухое,Уругвай,Каннелонес,Таннат,"Национальный сорт Уругвая. Очень танинный, мощный.","📌 Мясо на гриле, дичь",13.5,8.0,0.5,0.3,2.2,0.07,24,68,0.997,3.4,0.68
боннарда,🍷 Красное сухое,Аргентина,Мендоса,Боннарда,"Второй по популярности красный сорт Аргентины. Мягкий, фруктовый.","📌 Мясо, паста, пицца",13.0,7.5,0.4,0.28,2.3,0.065,22,65,0.996,3.4,0.65
пейс,🍷 Красное сухое,Чили,Центральная Долина,Пейс,"Старинный чилийский сорт, почти исчезнувший.","📌 Мясо",12.5,7.5,0.4,0.28,2.3,0.065,22,65,0.996,3.4,0.65
сенсо,🍷 Красное сухое,Франция/ЮАР,Разные,Сенсо,"Легкий сорт, часто используется в розе и ассамбляжах.","📌 Легкие блюда",12.0,7.0,0.35,0.25,2.2,0.06,20,58,0.995,3.4,0.6
кариньян,🍷 Красное сухое,Франция/Испания,Разные,Кариньян,"Позднеспелый, танинный сорт.","📌 Мясо, сыры",13.0,7.8,0.48,0.3,2.3,0.07,22,66,0.996,3.4,0.67
матаро,🍷 Красное сухое,Франция/Австралия,Разные,Матаро,"Танинный сорт, часто в ассамбляжах с Ширазом.","📌 Мясо, дичь",13.5,7.8,0.5,0.3,2.3,0.07,22,66,0.997,3.4,0.68
дуриф,🍷 Красное сухое,США (Калифорния),Калифорния,Дуриф,"Калифорнийский сорт, редкость.","📌 Мясо",13.0,7.5,0.4,0.28,2.3,0.065,22,65,0.996,3.4,0.65
петит вердо,🍷 Красное сухое,Франция/Испания,Разные,Петит Вердо,"Позднеспелый сорт, добавляет цвет и танины в ассамбляжи.","📌 Мясо, сыры",13.5,8.0,0.5,0.3,2.2,0.07,24,68,0.997,3.4,0.68
марселан,🍷 Красное сухое,Франция,Лангедок,Марселан,"Современный гибрид, устойчивый к болезням.","📌 Мясо",13.0,7.5,0.45,0.28,2.3,0.065,22,65,0.996,3.4,0.65
калабрис,🍷 Красное сухое,Италия (Калабрия),Калабрия,Гальоппо,"Местный сорт Калабрии.","📌 Мясо",13.0,7.5,0.45,0.28,2.3,0.065,22,65,0.996,3.4,0.65
мальвазия нера,🍷 Красное сухое,Италия (Пьемонт),Пьемонт,Мальвазия Нера,"Красный сорт, используемый в некоторых пьемонтских винах.","📌 Мясо",12.5,7.2,0.4,0.26,2.2,0.06,20,60,0.995,3.4,0.62
фрейза,🍷 Красное сухое,Италия (Пьемонт),Пьемонт,Фрейза,"Легкий, фруктовый сорт, часто игристое.","📌 Закуски",11.5,7.0,0.35,0.22,2.1,0.055,18,52,0.995,3.3,0.55
груелло,🍷 Красное сухое,Италия (Ломбардия),Вальтеллина,Груелло,"Сорт для Вальтеллины. Дает легкие, освежающие вина.","📌 Закуски, легкие мясные блюда",12.0,7.2,0.38,0.24,2.2,0.06,20,58,0.995,3.4,0.6
скьява,🍷 Красное сухое,Италия (Трентино),Трентино,Скьява,"Очень легкое, питкое красное вино, пьется охлажденным.","📌 Закуски, легкие блюда",11.5,6.8,0.3,0.2,2.0,0.055,18,50,0.994,3.3,0.55
терольдего,🍷 Красное сухое,Италия (Трентино),Трентино,Терольдего,"Легкое, с нотами вишни и миндаля.","📌 Закуски, белое мясо",12.0,7.0,0.35,0.22,2.1,0.06,19,54,0.995,3.4,0.58
лагрейн,🍷 Красное сухое,Италия (Трентино),Трентино,Лагрейн,"Более танинный сорт Трентино.","📌 Мясо, сыры",12.5,7.5,0.42,0.26,2.2,0.065,21,62,0.996,3.4,0.63
ребо,🍷 Красное сухое,Италия (Эмилия-Романья),Эмилия-Романья,Ребо,"Сорт для производства ламбруско.","📌 Закуски, салаты",11.5,7.0,0.38,0.24,2.5,0.06,20,55,0.996,3.4,0.6
анчеллотта,🍷 Красное сухое,Италия (Эмилия-Романья),Эмилия-Романья,Анчеллотта,"Еще один сорт для ламбруско.","📌 Закуски",11.5,7.0,0.38,0.24,2.5,0.06,20,55,0.996,3.4,0.6
фортана,🍷 Красное сухое,Италия (Умбрия),Умбрия,Фортана,"Местный сорт Умбрии.","📌 Мясо",12.5,7.2,0.4,0.26,2.3,0.06,20,60,0.995,3.4,0.62
чилиджоло,🍷 Красное сухое,Италия (Тоскана),Тоскана,Чиледжиоло,"Сорт, используемый в некоторых кьянти.","📌 Мясо",12.0,7.2,0.38,0.24,2.2,0.06,20,58,0.995,3.4,0.6
канайоло,🍷 Красное сухое,Италия (Тоскана),Тоскана,Канайоло,"Традиционный сорт для кьянти.","📌 Мясо",12.0,7.2,0.38,0.24,2.2,0.06,20,58,0.995,3.4,0.6
колорино,🍷 Красное сухое,Италия (Тоскана),Тоскана,Колорино,"Придает цвет и танины кьянти.","📌 Мясо",13.0,7.8,0.45,0.28,2.3,0.065,22,65,0.996,3.4,0.65
мальма,🍷 Красное сухое,Италия (Лацио),Лацио,Мальма,"Местный сорт Лацио.","📌 Мясо",12.5,7.2,0.4,0.26,2.3,0.06,20,60,0.995,3.4,0.62
чебре,🍷 Красное сухое,Италия (Лацио),Лацио,Чебре,"Местный сорт Лацио.","📌 Мясо",12.5,7.2,0.4,0.26,2.3,0.06,20,60,0.995,3.4,0.62
алеатико,🍯 Десертное красное,Италия (Центр/Юг),Разные,Алеатико,"Сладкое красное вино из одноименного сорта.","📌 Десерты, сыры",13.0,6.8,0.4,0.28,12.0,0.06,22,65,1.01,3.4,0.6
пассито,🍯 Десертное белое,Италия (Разные),Разные,Разные,"Стиль вин из подсушенного винограда.","📌 Десерты, фуа-гра, сыры",14.0,7.0,0.3,0.4,15.0,0.04,28,80,1.015,3.2,0.55
речото,🍯 Десертное красное,Италия (Венето),Вальполичелла,Корвина,"Версия Амароне, но сладкая.","📌 Десерты, сыры",14.0,7.5,0.5,0.3,12.0,0.07,25,70,1.01,3.4,0.7
